base	number	description	note	description_fin	note_fin	link_original	link_wordnet	backtrack	synset_id	import_id
painottaa	2	Give a relative weight	E.g. "painotettu keskiarvo" ("weighted average")	Antaa suhteellinen paino(arvo)	Esim. "painotettu keskiarvo"	NULL	NULL	NULL	NULL	970199
painottua	1	Concentrate, focus on something	Note: Not in sync with concentrate.01, no arg2 in Finnish (tags: seed:keskittyä)	Keskittyä, paneutua johonkin	Huom! Ei synkr. concentrate.01:n kanssa, suomessa ei arg2:a (tags: seed:keskittyä)	NULL	NULL	172	NULL	NULL
painua	1	Fall, move downward, decrease	(tags: model:fall.01 seed:pudota)	Pudota jostakin, tippua alaspäin, vähentyä	(tags: model:fall.01 seed:pudota)	NULL	NULL	NULL	02268970	1c3a640
painua	2	Leave	(tags: seed:painua, model:split.02, colloquial)	Lähteä	NULL	NULL	NULL	NULL	01901948	28b9edc
paiskata	1	Throw, pass an object somewhere	Note: also when in the meaning "to give", figurative ("heitätkö sen kynän mulle")(tags: model: throw.01, seed:heittää)	Heittää asia jonnekin	Huom! Myös merkityksessä "antaa", kuvainnollinen ("heitätkö sen kynän mulle")	NULL	NULL	NULL	01433540, 01428441	546ec8
paiskautua	1	Smash, be in a quick, violent movement towards something	Note: not in sync with smash.02, Finnish requires arg2	Paiskautua, olla nopeassa, rajussa liikkeessä jotain kohti	Huom! Ei synkr. smash.02:n kanssa, suomi vaatii arg2:n	none.01	NULL	NULL	NULL	NULL
paiskia	1	Work hard	NULL	Paiskia töitä, työskennellä paljon	NULL	none.01	NULL	NULL	NULL	NULL
paiskoa	1	Throw, pass an object somewhere	Note: also when in the meaning "to give", figurative ("heitätkö sen kynän mulle")(tags: model: throw.01, seed:heittää)	Heittää asia jonnekin	Huom! Myös merkityksessä "antaa", kuvainnollinen ("heitätkö sen kynän mulle")	NULL	NULL	NULL	01433540, 01428441	546ec8
paistaa	1	Shed light to surroundings, shine.	NULL	Hohtaa valoa ympärille.	NULL	NULL	NULL	NULL	02639672	3f59a49
paistaa	2	Fry food on a pan or in the oven	(tags: model:fry.01)	Valmistaa ruokaa pannulla tai uunissa	NULL	NULL	NULL	NULL	00317074	e4b268
paisua	1	Swell	Note: Not in synch with swell.01, no args 0, 3 or 4 in Finnish	Paisua	Huom! Ei synkr. swell.01:n kanssa, suomessa ei argumentteja 0, 3 eikä 4	NULL	NULL	NULL	NULL	NULL
paisuttaa	1	Increase, extend	(tags: model:increase.01, seed:kasvattaa)	Kasvattaa, suurentaa	NULL	NULL	NULL	1206	NULL	NULL
pakata	1	Pack	(tags: model:pack.01) Hard to say whether "pakata laukku tavaroilla" ("pack a bag with things") or "pakata tavarat laukkuun" ("pack things into a bag") is more common. Went with the English frameset with bag being arg1.	Pakata, ottaa tavaraa mukaan	Vaikea sanoa, onko "pakata laukku tavaroilla" vai "pakata tavarat laukkuun" yleisempi. Annoin mennä engl. PB:n mukaan niin, että laukku on arg1.	NULL	NULL	NULL	NULL	NULL
pakkailla	1	Pack	(tags: model:pack.01) Hard to say whether "pakata laukku tavaroilla" ("pack a bag with things") or "pakata tavarat laukkuun" ("pack things into a bag") is more common. Went with the English frameset with bag being arg1.	Pakata, ottaa tavaraa mukaan	Vaikea sanoa, onko "pakata laukku tavaroilla" vai "pakata tavarat laukkuun" yleisempi. Annoin mennä engl. PB:n mukaan niin, että laukku on arg1.	pack.01	NULL	2875	NULL	NULL
pakkautua	1	Pack oneself, cram oneself	Note: not in sync with cram.01, arg0=arg1 in this Finnish verb	Pakkautua, sulloutua, sulloa itsensä	Huom! Ei synkr. cram.01:n kanssa, arg0=arg1 tässä suomen verbissä	NULL	NULL	NULL	NULL	NULL
pakoilla	1	Escape, flee	Note: not in sync with flee.01 or escape.01, no separate source and destination in English frames	Paeta, mennä karkuun	Huom! Ei synkr. flee.01:n tai escape.01:n kanssa, engl. versiossa ei erillistä lähtöpaikkaa ja määränpäätä	NULL	NULL	1971	NULL	NULL
pakottaa	1	Force	(tags: model:force.01)	Pakottaa joku tekemään jotain	NULL	NULL	NULL	NULL	01581367	5f2625c
paksuta	1	Thicken	Note: not in sync with thicken.01, no arg0 in Finnish	Tihetä	Huom! Ei synkr. thicken.01:n kanssa, suomessa ei arg0:a	NULL	NULL	3100	NULL	NULL
palaa	1	Be burned	Note: not in sync with burn.01, no arg0 in Finnish (tags: seed:palaa)	Palaa, olla tulessa	Huom! Ei synkr. burn.01:n kanssa, suomessa ei arg0:a	none.01	NULL	NULL	00366753	242623e
palailla	1	Return, come back actively	Note: not in sync with return.01, we believe the PB sense to be erroneous, should have arg0. Arg0 and Arg1 mutually exclusive. (seed: palata, VVB)	Palata, tulla takaisin aktiivisesti	Huom! Ei synkr. return.01:n kanssa, mielestämme PB-sense on virheellinen, pitäisi olla arg0. Arg0 ja arg1 toisensa poissulkevat.	none.01	NULL	NULL	01895879	585a859
palata	1	Return, come back actively	Note: not in sync with return.01, we believe the PB sense to be erroneous, should have arg0. Arg0 and Arg1 mutually exclusive. (seed: palata, VVB)	Palata, tulla takaisin aktiivisesti	Huom! Ei synkr. return.01:n kanssa, mielestämme PB-sense on virheellinen, pitäisi olla arg0. Arg0 ja arg1 toisensa poissulkevat.	none.01	NULL	NULL	01895879	585a859
palauttaa	1	Return, give back	(tags: model:return.02)	Palauttaa, antaa takaisin	NULL	NULL	NULL	NULL	02210094	1d0ea17
palella	1	Freeze, feel cold	Note: not in sync with freeze.01, no arg0 in Finnish	Palella	Huom! Ei synkr. freeze.01:n kanssa, suomessa ei arg0:a	NULL	NULL	NULL	NULL	NULL
palelluttaa	1	Freeze, make someone/something feel cold	Note: not in sync with freeze.01, Finnish is more specific and doesn't have arg2	Palelluttaa, saada joku/jokin palelemaan	Huom! Ei synkr. freeze.01:n kanssa, suomenkielinen on erikoistuneempi, eikä arg2:a suomessa	none.01	NULL	NULL	NULL	NULL
paleltaa	1	Be freezing, feel cold	NULL	Paleltaa, tuntea olonsa kylmäksi	NULL	none.01	NULL	NULL	NULL	NULL
paljastaa	1	Reveal, expose	(tags: model:reveal.01)	Paljastaa, saattaa julkisuuteen	NULL	reveal.01	NULL	NULL	NULL	NULL
paljastua	1	Be revealed, emerge	NULL	Paljastua, tulla julki	NULL	none.01	NULL	NULL	NULL	NULL
palkata	1	Engage by written agreement, hire, employ	(tags: seed:kiinnittää, model:employ.01)	Ottaa palvelukseen, palkata	NULL	NULL	NULL	NULL	02305224	59792f1
palkita	1	Reward, give a reward	Not in sync with reward.01, different arg2 in Finnish	Palkita, antaa palkinto	Ei synkr. reward.01:n kanssa, suomessa eri arg2	none.01	NULL	NULL	NULL	NULL
paloitella	1	Grind, crush (into something smaller)	(tags: seed:jauhaa, model:grind.01)	Jauhaa, pienentää	NULL	NULL	NULL	NULL	00317009	523ab32
palvella	1	serve	NULL	antaa palvelua	NULL	NULL	NULL	NULL	NULL	NULL
palvoa	1	Respect, value	(tags: model:respect.01, seed:arvostaa)	Arvostaa	NULL	NULL	NULL	NULL	00665955	8c4a6c
paneutua	1	Concentrate, focus on something	Note: Not in sync with concentrate.01, no arg2 in Finnish (tags: seed:keskittyä)	Keskittyä, paneutua johonkin	Huom! Ei synkr. concentrate.01:n kanssa, suomessa ei arg2:a (tags: seed:keskittyä)	none.01	NULL	NULL	00970273	e71d36
panikoida	1	Get nervous about something	NULL	SAada paniikkikohtaus	NULL	NULL	NULL	NULL	NULL	NULL
panna	1	Put something to somewhere	(tags: model:put.01, seed:panna)	Laittaa jotain johonkin	NULL	put.01	NULL	NULL	01492881	1d65075
panna	2	Put into effect, execute	NULL	Panna täytäntöön (tags: phrasal)	NULL	carry.03	NULL	NULL	666	5cdd733
panna	3	Notice	(tags: model:notice.01, seed:panna, phrasal)	Panna merkille, huomata	NULL	notice.01	NULL	NULL	NULL	NULL
panostaa	1	Invest in	Note: Not in sync with invest.01, different arg1 definition, no arg2 in Finnish	Panostaa	Huom! Ei synkr. invest.01:n kanssa, erilainen arg1:n kuvaus, suomessa ei arg2:a	NULL	NULL	NULL	NULL	NULL
parannella	1	Improve	NULL	Parannella	NULL	NULL	NULL	NULL	NULL	NULL
parantaa	1	Improve, make better	(tags: model:improve.01, seed:kehittää)	Kehittää paremmaksi, parantaa	(tags: model:improve.01, seed:kehittää)	NULL	NULL	NULL	00531231	ce2375
parantua	1	Recover, get better	tags:model:recover.01	Parantua		NULL	NULL	NULL	NULL	NULL
parata	1	Improve, rise	(tags: model:improve.02)	Parata, parantua, kasvaa	NULL	improve.02	NULL	NULL	NULL	NULL
parata	2	Dare, be worth to do something (neg.)	NULL	Ei kannata tai uskalla tehdä jotain	NULL	none.01	NULL	NULL	NULL	NULL
paritella	1	Make love	NULL	Rakastella	NULL	NULL	NULL	2716	NULL	NULL
parittaa	1	Procure	Note: not in sync with procure.01, different sense in PB	Parittaa	Huom! Ei synkr. procure.01:n kanssa, PBssä eri merkitys	NULL	NULL	NULL	NULL	NULL
pariutua	1	pair, couple	NULL	liittyä yhteen	NULL	none	NULL	NULL	NULL	NULL
parjata	1	Mock	tags:model:mock.01	Ivata, pilkata	NULL	NULL	NULL	2993	NULL	NULL
parodioida	1	Mock	tags:model:mock.01	Ivata, pilkata	NULL	NULL	NULL	2993	NULL	NULL
parsia	1	Parse, structure (data)	NULL	Parsia, jäsentää (dataa)	NULL	none.01	NULL	NULL	NULL	NULL
parveilla	1	Flock, travel in a crowd	Not in sync with flock.02, different arg1 in Finnish	Parveilla, liikkua suurissa parvissa	Ei synkr. flock.01:n kanssa, suomessa eri arg1	none.01	NULL	NULL	NULL	NULL
paseerata	1	Mash, make into mash (cooking)	(tags: model:mash.01)	Paseerata, soseuttaa	NULL	mash.01	NULL	NULL	NULL	NULL
passata	1	Suit	Often "look good on someone". Note: Not in sync with suit.01, no arg0 in Finnish	Sopia jollekulle	Usein "näyttää hyvältä". Huom. Ei synkr. suit.01:n kanssa, suomessa ei arg0:a	NULL	NULL	752	NULL	5d5201
passata	2	Serve (to excess)	NULL	Palvella (liiallisuuksiin asti)	NULL	NULL	NULL	NULL	NULL	20a094f
passittaa	1	Drive, chase off	NULL	Pakottaa liikkeelle, häätää	NULL	NULL	NULL	1716	NULL	NULL
patistaa	1	Suggest, advise, push for something	(tags: seed:kehottaa, model:suggest.01)	Ehdottaa, neuvoa, ohjata johonkin	NULL	NULL	NULL	NULL	00837679, 00734193	2cd32f5
paukauttaa	1	Bang, hit, cause a banging noise	(tags: model:bang.02)	Paukauttaa, lyödä, aiheuttaa paukahtava ääni	NULL	bang.02	NULL	NULL	NULL	NULL
paukkua	1	Make a popping sound	(tags: model:pop.01)	Aiheuttaa pauketta	NULL	pop.01	NULL	NULL	NULL	NULL
paukutella	1	Strike, beat	(tags: seed:lyödä, model:hit.01)	Lyödä, kumauttaa, rummuttaa	(tags: seed:lyödä, model:hit.01)	NULL	NULL	3057	NULL	NULL
paukuttaa	1	Strike, beat	(tags: seed:lyödä, model:hit.01)	Lyödä, kumauttaa, rummuttaa	(tags: seed:lyödä, model:hit.01)	NULL	NULL	254	NULL	NULL
pehmentää	1	Soften, make softer	(tags: model:soften.01)	Pehmentää, tehdä pehmeämmäksi	NULL	soften.01	NULL	NULL	NULL	NULL
pehmetä	1	Become softer	NULL	Pehmetä	NULL	NULL	NULL	NULL	NULL	NULL
peitellä	1	Hide, cover, conceal	(tags: model:hide.01, seed:salata)	Piilottaa, kätkeä, salata	NULL	hide.01	NULL	NULL	02054684, 02054102	29fc87
peitota	1	Win something	Note: not in sync with win.01, more specific arguments in Finnish	Voittaa jotakin	Huom! Ei synkr. win.01:n kanssa, tarkemmat argumenttimäärittelyt suomessa	NULL	NULL	640	NULL	NULL
peitota	3	Cover physically	(tags: model:cover.02, seed:kattaa)	Peittää fyysisesti, ulottua jonkun yli	(tags: model:cover.02, seed:kattaa)	NULL	NULL	17	NULL	NULL
peittyä	1	engulf	NULL	saada kerros pintaansa	NULL	NULL	NULL	NULL	NULL	NULL
peittää	1	Cover physically	(tags: model:cover.02, seed:kattaa)	Peittää fyysisesti, ulottua jonkun yli	(tags: model:cover.02, seed:kattaa)	NULL	NULL	NULL	01266629	3f4c3af
pelastaa	1	Save, rescue	(tags: model:save.02)	Pelastaa, auttaa pois uhkaavasta tilanteesta	NULL	save.02	NULL	NULL	NULL	NULL
pelastua	1	Manage, survive, sober	(tags: model:survive.01, seed:selvitä)	Selvitä, säilyä hengissä, selvitä humalasta	(tags: model:survive.01, seed:selvitä)	survive.01	NULL	NULL	02476833,00141856	4470a47
pelata	1	Play a game	(tags: model:play.01)	Olla mukana pelissä	NULL	NULL	NULL	NULL	01024228	3ca10c0
pelata	2	Work	N.b! Not in sync with work.01, no agent in Finnish	toimia odotetusti	Huom! Ei synkr. work.01:n kanssa, suomessa ei agenttia	NULL	NULL	NULL	01464465	128f1e7
pelittää	1	Work	N.b! Not in sync with work.01, no agent in Finnish	toimia odotetusti	Huom! Ei synkr. work.01:n kanssa, suomessa ei agenttia	NULL	NULL	NULL	01464465	128f1e7
pelottaa	1	Cause to be afraid	NULL	Pelottaa, saada pelkäämään	NULL	NULL	NULL	NULL	NULL	NULL
peluuttaa	1	Play	Note: not in sync with play.01, different senses	Peluuttaa	Huom! Ei synkr. play.01:n kanssa, eri merkitykset	NULL	NULL	NULL	NULL	NULL
pelästyttää	1	Frighten	tags:model:frighten.01	Pelästyttää	NULL	frighten.01	NULL	NULL	NULL	NULL
pelästyä	1	Fear	(tags: model:fear.01)	olla peloissaan jonkun asian takia	NULL	NULL	NULL	1092	NULL	NULL
pelätä	1	Fear	(tags: model:fear.01)	olla peloissaan jonkun asian takia	NULL	NULL	NULL	NULL	01704216	b94881
pengertää	1	Embank, terrace	NULL	Pengertää	NULL	none.01	NULL	NULL	NULL	NULL
penkoa	1	Rummage, dig into	tags:model:rummage.01	Penkoa	NULL	NULL	NULL	NULL	NULL	NULL
perehtyä	1	Familiarize oneself, acquaint oneself with something or someone, explore	N.b. Not in sync with familiarize.01, different arg0 (tags: seed:tutustua)	Tulla tutuksi jonkin kanssa, perehtyä	Huom! Ei synkr. familiarize.01:n kanssa, eri arg0 (tags: seed:tutustua)	NULL	NULL	NULL	00827025	5332c4b
periytyä	1	Be inherited	NULL	Periytyä, kulkea perintönä	NULL	none.01	NULL	NULL	NULL	NULL
periä	1	Inherit, receive from a predecessor or by genetic transmission	(tags: model:inherit.01)	Saada perinnöksi, periä joko joltain henkilöltä tai geneettisen siirtymän kautta	NULL	NULL	NULL	NULL	02215122, 02214915	4e06509
periä	2	Call for and obtain payment of some kind	(tags: seed:periä, model:collect.01)	Vaatia, kerätä jonkinlaista maksua	NULL	NULL	NULL	NULL	00809825	148462d
perua	1	Cancel, cause to be not valid	(tags: model:cancel.01)	Perua, lopettaa voimassaolo	NULL	cancel.01	NULL	NULL	NULL	NULL
perustaa	1	Found, establish, set up	(tags: model:found.01)	Perustaa, aloittaa, laittaa pystyyn	(tags: model:found.01)	found.01	NULL	NULL	01658265	1d5e01b
perustaa	2	Base something on something	E.g. "Hän perustaa elämänsä alkoholille" (tags: model:base.02)	Perustaa, pohjata jotain jollekin	Esim. "Hän perustaa elämänsä alkoholille" (tags: model:base.02)	base.02	NULL	NULL	02517185	5bbcf79
perustella	1	Give reasons for something, justify	Note: not in sync with justify.01, no arg3 or arg4 in Finnish	Kertoa jonkin syyt, perustella	Huom! Ei synkr. justify.01:n kanssa, suomessa ei arg3:a tai arg4:ä	NULL	NULL	NULL	NULL	2156d97
perustua	1	Be based on, be grounded on	E.g. "Hänen elämänsä perustuu alkoholille" ("His life is based on alcohol"). Note: not in sync with base.02, no arg0 in Finnish	Perustua, pohjata jollekin	Esim. "Hänen elämänsä perustuu alkoholille". Huom! Ei synkr. base.02:n kanssa, suomessa ei arg0:a	none.01	NULL	NULL	02517185	4d01e91
peruuntua	1	Be cancelled	NULL	Peruuntua	NULL	NULL	NULL	NULL	NULL	NULL
peruuttaa	1	Cancel	tags:model:cancel.01	Peruuttaa	NULL	NULL	NULL	NULL	NULL	NULL
peräänkuuluttaa	1	Request, ask something	(tags: model:request.01)	Pyytää jotain		NULL	NULL	881	NULL	NULL
perääntyä	1	retreat	NULL	vetäytyä, mennä takaisinpäin	NULL	NULL	NULL	NULL	NULL	NULL
peseytyä	1	Wash, clean	Also figurative "Olen pessyt käteni koko tapauksesta" ("I have washed my hands of the whole incident") (tags: model:wash.01)	Pestä, puhdistaa	Myös kuvaannollinen "Olen pessyt käteni koko tapauksesta"	NULL	NULL	1980	NULL	NULL
pesiä	1	nest	NULL	asustaa (lintu)	NULL	nest.01	NULL	NULL	NULL	NULL
pestä	1	Wash, clean	Also figurative "Olen pessyt käteni koko tapauksesta" ("I have washed my hands of the whole incident") (tags: model:wash.01)	Pestä, puhdistaa	Myös kuvaannollinen "Olen pessyt käteni koko tapauksesta"	wash.01	NULL	NULL	NULL	NULL
pestä	2	Launder money	NULL	Pestä rahaa, kierrättää rikollisin keinoin hankittua rahaa	NULL	none.01	NULL	NULL	NULL	NULL
pettyä	1	Be disappointed	NULL	Pettyä	NULL	none.01	NULL	NULL	NULL	NULL
pettää	1	betray	NULL	Rikkoa luottamus	NULL	NULL	NULL	NULL	NULL	NULL
pidellä	1	Hold on, grasp	(tags: phrasal)	Pitää kiinni	NULL	NULL	NULL	NULL	NULL	4c924c1
pidentyä	1	Become longer	(tags: seed:pidetä)	Tulla pidemmäksi	NULL	none.01	NULL	NULL	00302915	54261fa
pidentää	1	Lengthen, make longer	(tags: model:lengthen.01)	Pidentää, muuttaa pidemmäksi	NULL	lengthen.01	NULL	NULL	NULL	NULL
pidetä	1	Become longer	(tags: seed:pidetä)	Tulla pidemmäksi	NULL	none.01	NULL	NULL	00302915	54261fa
pidätellä	1	Hold back, restrain	(tags: model:hold.07)	Pidätellä, rajoittaa, estää	NULL	hold.07	NULL	NULL	NULL	NULL
pidättyä	1	Refrain, abstain	tags:model:refrain.01	Pidättyä tekemästä jotain	NULL	NULL	NULL	NULL	NULL	NULL
pidättäytyä	1	Avoid, refrain	(tags: model:avoid.01, seed:välttää)	Vältää, karttaa	NULL	NULL	NULL	838	NULL	NULL
pidättää	1	arrest	NULL	ottaa kiinni	NULL	NULL	NULL	NULL	NULL	NULL
pidättää	2	hold, keep	NULL	estää tekeminen	NULL	NULL	NULL	NULL	NULL	NULL
piehtaroida	1	Roll, turn	Note: Not in sync with roll.01, args 0 and 1 mutually exclusive in Finnish	Pyöriä	Huom! Ei synkr. roll.01:n kanssa, arg:t 0 ja 1 toisensa poissulkevia suomessa	NULL	NULL	2509	NULL	NULL
pienentyä	1	Become smaller	NULL	Pienentyä	NULL	NULL	NULL	NULL	NULL	NULL
pienentää	1	Reduce, diminish	(tags: model:reduce.01, seed:vähentää)	Vähentää, pienentää	(tags: model:reduce.01, seed:vähentää)	NULL	NULL	NULL	00408839	2196add
pienetä	1	Become smaller	NULL	Pienentyä	NULL	NULL	NULL	3272	NULL	NULL
pihistää	1	Steal, commit theft	(tags: model:steal.01)	Varastaa, ottaa ilman lupaa	NULL	pinch.02	NULL	1999	NULL	NULL
piillä	1	Reside, inhere	Note: not in sync with reside.01, different sense	Piillä	Huom! Ei synkr. reside.01:n kanssa, eri merkitys	NULL	NULL	NULL	NULL	NULL
piilotella	1	Hide, conceal	Note: not in sync with hide.01 or conceal.01, different arg2 definition in Finnish	Piilottaa	Huom! ei synkr. hide.01:n eikä conceal.01:n kanssa, suomessa erilainen arg2	none.01	NULL	2403	NULL	NULL
piilottaa	1	Hide, conceal	Note: not in sync with hide.01 or conceal.01, different arg2 definition in Finnish	Piilottaa	Huom! ei synkr. hide.01:n eikä conceal.01:n kanssa, suomessa erilainen arg2	NULL	NULL	NULL	NULL	NULL
piiloutua	1	Hide	Note: not in sync with hide.01, different arg1 in Finnish	Piiloutua	Huom! Ei synkr. hide.01:n kanssa, suomessa erilainen arg1	NULL	NULL	NULL	NULL	NULL
piinata	1	Torment	NULL	Piinata	NULL	NULL	NULL	NULL	NULL	NULL
piipahtaa	1	Pay a brief visit, pop by	(tags: seed:poiketa, model:stop.02)	Tehdä lyhyt vierailu, pysähdys	NULL	NULL	NULL	NULL	02377242	17cab94
piipata	1	Emit a sound	Note: not in sync with sound.02, ring.01, peal.01 or toll.01, no arg0 in Finnish	Soida, tuottaa ääntä	Huom. Ei synkr. sound.02, ring.01:n, peal.01:n eikä toll.01 kanssa, suomessa ei arg0	NULL	NULL	1306	NULL	NULL
piirittää	1	Besiege	NULL	Piirittää	NULL	NULL	NULL	NULL	NULL	NULL
piirrellä	1	Paint	NULL	Maalailla, maalata	NULL	NULL	NULL	3037	NULL	NULL
piirtää	1	draw	NULL	tehdä kynällä piirros	NULL	NULL	NULL	NULL	NULL	NULL
piisata	1	Be enough of something	NULL	Piisata, olla riittävästi jotain	NULL	NULL	NULL	NULL	NULL	NULL
piitata	1	Mind, care about something	NULL	Piitata	NULL	NULL	NULL	NULL	NULL	NULL
pilata	1	Ruin, destroy	tags:model:ruin.01	Pilata	NULL	NULL	NULL	NULL	NULL	NULL
pilkahdella	1	Show, there is something		Joku asia on näkyvissä, esillä	NULL	NULL	NULL	2275	NULL	NULL
pilkkoa	1	Grind, crush (into something smaller)	(tags: seed:jauhaa, model:grind.01)	Jauhaa, pienentää	NULL	NULL	NULL	NULL	00317009	523ab32
pimentyä	1	Darken, become dark	Not in sync with darken.01, no arg0 in Finnish	Pimetä, tulla pimeämmäksi	Ei synkr. darken.01:n kanssa, suomessa ei arg0:a	NULL	NULL	2512	NULL	NULL
pimetä	1	Darken, become dark	Not in sync with darken.01, no arg0 in Finnish	Pimetä, tulla pimeämmäksi	Ei synkr. darken.01:n kanssa, suomessa ei arg0:a	none.01	NULL	NULL	NULL	NULL
pimittää	1	Hide, conceal	tags:model:withhold.01	Pimittää	NULL	NULL	NULL	NULL	NULL	NULL
pinkoa	1	Move fast on foot	Note: not in sync with any sense of "run", there is no basic "agent runs from place a to place b" sense available (tags: seed:juosta)	Liikkua nopeasti jalan	Huom! Ei synkr. minkään "run"-sanan sensen kanssa, ei tarjolla perussenseä tyyliin "agentti juoksee paikasta a paikkaan b"	none.01	NULL	1452	NULL	NULL
pinnistää	1	Strain, struggle	Note: not in sync with strain.01 or struggle.01, different sense	Pinnistää	Huom! Ei synkr. strain.01:n eikä struggle.01:n kanssa, suomessa erilainen merkitys	NULL	NULL	NULL	NULL	NULL
pinnoittaa	1	Cover physically	(tags: model:cover.02, seed:kattaa)	Peittää fyysisesti, ulottua jonkun yli	(tags: model:cover.02, seed:kattaa)	NULL	NULL	17	NULL	NULL
pinota	1	make a pile	NULL	koota kasaan	NULL	NULL	NULL	2790	NULL	NULL
piristyä	1	Perk up	(tags: model:perk.01)	Piristyä	NULL	perk.01	NULL	NULL	NULL	NULL
piristä	1	Emit a sound	Note: not in sync with sound.02, ring.01, peal.01 or toll.01, no arg0 in Finnish	Soida, tuottaa ääntä	Huom. Ei synkr. sound.02, ring.01:n, peal.01:n eikä toll.01 kanssa, suomessa ei arg0	NULL	NULL	1306	NULL	NULL
piristää	1	Refresh	tags:model:refresh.01	Piristää	NULL	NULL	NULL	NULL	NULL	NULL
pirstaloitua	1	Be shattered	Note: not in sync with shatter.01, no arg0 in Finnish	Pirstaloitua	Huom! Ei synkr. shatter.01:n kanssa, suomessa ei arg0:a	NULL	NULL	NULL	NULL	NULL
pistellä	1	Tingle, experience prickling sensation	NULL	Pistellä, tuntua pistelyä	NULL	NULL	NULL	NULL	NULL	NULL
pistellä	2	Gobble up	NULL	Pistellä suuhunsa	NULL	NULL	NULL	NULL	NULL	NULL
pistäytyä	1	Pay a brief visit, pop by	(tags: seed:poiketa, model:stop.02)	Tehdä lyhyt vierailu, pysähdys	NULL	NULL	NULL	NULL	02377242	17cab94
pistää	1	Put something to somewhere	(tags: model:put.01, seed:panna)	Laittaa jotain johonkin	NULL	NULL	NULL	NULL	01492881	1d65075
pistää	2	start to 	NULL	alkaa tehdä jotakin 	NULL	NULL	NULL	NULL	NULL	NULL
pitkittyä	1	Prolong	Note: Not in sync with prolong.01, no args 0, 2 or 3 in Finnish	Pitkittyä	Huom! Ei synkr. prolong.01:n kanssa, suomessa ei arg:a 0, 2 eikä 3	NULL	NULL	NULL	NULL	NULL
pitkittää	1	Lengthen, make longer (in time)	(tags: model:lengthen.01)	Pidentää, muuttaa pidemmäksi (ajallisesti)	NULL	prolong.01	NULL	2513	NULL	NULL
pitää	1	To like someone or something	(tags: model:like.01, seed:tykätä)	Pitää jostakin	(tags: model:like.01, seed:tykätä)	like.01	NULL	NULL	01728315, 01678463	55d095b
pitää	2	Hold on, grasp	(tags: phrasal)	Pitää kiinni	NULL	none.01	NULL	NULL	NULL	4c924c1
pitää	3	Keep for sale	(tags: phrasal)	Pitää kaupan	NULL	none.01	NULL	NULL	NULL	322177
pitää	4	Maintain	(tags: phrasal)	Pitää yllä, ylläpitää	NULL	none.01	NULL	NULL	02106386	2bb697b
pitää	5	Keep in effect, keep valid	(tags: phrasal)	Pitää voimassa	NULL	none.01	NULL	NULL	NULL	2605cca
pitää	6	View, assign an attribute to	(tags: model:view.02)	Pitää jotakin jonkinlaisena, olla mielipide jostakin	NULL	view.02	NULL	NULL	00661710	4cbf1a8
pitää	7	Keep, also store	Also abstract usage	Pitää, säilyttää	Myös abstrakti käyttö	none.01	NULL	NULL	02107277, 02107009, 02105542	45d4fa5
pitää	8	Give, organize	e.g. give a speech or keep a record of	Pitää, suorittaa jokin toiminto	esim. pitää puhe tai pitää kirjaa jostakin	none.01	NULL	NULL	00944210, 01659472	498b490
pitää	9	Be true	(tags: phrasal)	Pitää paikkansa, olla totta	NULL	none.01	NULL	NULL	NULL	7c6da4
pitää	10	Take care of	(tags: phrasal)	Pitää huoli jostakin	NULL	none.01	NULL	NULL	NULL	21b99b3
pitää	11	Keep an eye on, look out for	(tags: phrasal)	Pitää silmällä	NULL	look.08	NULL	NULL	NULL	5c451dc
pitää	12	Be careful, be alert	(tags: phrasal)	Pitää varansa, olla varuillaan	NULL	none.01	NULL	NULL	NULL	22d7e3c
pitää	13	Hurry	(tags: phrasal)	Pitää kiirettä, kiirehtiä	NULL	none.01	NULL	NULL	NULL	5d0f40d
pitää	14	Keep in touch, contact	(tags: phrasal)	Pitää yhteyttä	NULL	none.01	NULL	NULL	NULL	1323a06
plaseerata	1	Seat, provide seats	(tags: model:seat.01)	Plaseerata, laittaa istumaan	NULL	seat.01	NULL	NULL	NULL	NULL
pohdiskella	1	Think something, ponder	(tags: seed:miettiä, model:ponder.01)	Ajatella jotain, tuumailla		NULL	NULL	NULL	00599167, 02049238	b22238
pohjautua	1	Be based on	NULL	Pohjautua	NULL	NULL	NULL	NULL	NULL	NULL
pohjustaa	1	Preface, introduce	NULL	Pohjustaa, alustaa	NULL	none.01	NULL	NULL	NULL	NULL
pohtia	1	Think something, ponder	(tags: seed:miettiä, model:ponder.01)	Ajatella jotain, tuumailla		NULL	NULL	NULL	00599167, 02049238	b22238
poiketa	1	Differ, be different	(tags: model:differ.02, seed:erota)	Olla erilainen	NULL	NULL	NULL	NULL	02596848	34bf7b7
poiketa	2	Pay a brief visit, pop by	(tags: seed:poiketa, model:stop.02)	Tehdä lyhyt vierailu, pysähdys	NULL	NULL	NULL	NULL	02377242	17cab94
poikia	1	Spawn	tags:model:spawn.01	Poikia	NULL	NULL	NULL	NULL	NULL	NULL
poimia	1	Collect something, gather, pick	(tags: seed:kerätä, model:collect.01)	Kerätä jotain, koota		NULL	NULL	NULL	01311868, 01311601	33283ee
poissulkea	1	Exclude	tags:model:exclude.01	Poissulkea	NULL	NULL	NULL	NULL	NULL	NULL
